DATE,TIME,当日実績(万kW),
2019/5/11,0:00,264,
2019/5/11,1:00,272,
2019/5/11,2:00,290,
2019/5/11,3:00,303,
2019/5/11,4:00,298,
2019/5/11,5:00,281,
2019/5/11,6:00,265,
2019/5/11,7:00,263,
2019/5/11,8:00,271,
2019/5/11,9:00,286,
2019/5/11,10:00,289,
2019/5/11,11:00,295,
2019/5/11,12:00,286,
2019/5/11,13:00,295,
2019/5/11,14:00,289,
2019/5/11,15:00,284,
2019/5/11,16:00,284,
2019/5/11,17:00,279,
2019/5/11,18:00,278,
2019/5/11,19:00,281,
2019/5/11,20:00,275,
2019/5/11,21:00,262,
2019/5/11,22:00,253,
2019/5/11,23:00,245,
