DATE,TIME,当日実績(万kW),
2019/7/13,0:00,270,
2019/7/13,1:00,265,
2019/7/13,2:00,276,
2019/7/13,3:00,287,
2019/7/13,4:00,284,
2019/7/13,5:00,268,
2019/7/13,6:00,253,
2019/7/13,7:00,255,
2019/7/13,8:00,276,
2019/7/13,9:00,291,
2019/7/13,10:00,299,
2019/7/13,11:00,304,
2019/7/13,12:00,296,
2019/7/13,13:00,297,
2019/7/13,14:00,299,
2019/7/13,15:00,295,
2019/7/13,16:00,292,
2019/7/13,17:00,289,
2019/7/13,18:00,289,
2019/7/13,19:00,288,
2019/7/13,20:00,281,
2019/7/13,21:00,266,
2019/7/13,22:00,256,
2019/7/13,23:00,248,
