DATE,TIME,当日実績(万kW),
2019/7/14,0:00,235,
2019/7/14,1:00,233,
2019/7/14,2:00,246,
2019/7/14,3:00,259,
2019/7/14,4:00,259,
2019/7/14,5:00,245,
2019/7/14,6:00,233,
2019/7/14,7:00,232,
2019/7/14,8:00,240,
2019/7/14,9:00,256,
2019/7/14,10:00,264,
2019/7/14,11:00,269,
2019/7/14,12:00,270,
2019/7/14,13:00,268,
2019/7/14,14:00,267,
2019/7/14,15:00,265,
2019/7/14,16:00,267,
2019/7/14,17:00,271,
2019/7/14,18:00,275,
2019/7/14,19:00,275,
2019/7/14,20:00,265,
2019/7/14,21:00,253,
2019/7/14,22:00,243,
2019/7/14,23:00,234,
