DATE,TIME,当日実績(万kW)
2022/01/11,00:00,1494
2022/01/11,01:00,1461
2022/01/11,02:00,1462
2022/01/11,03:00,1466
2022/01/11,04:00,1462
2022/01/11,05:00,1512
2022/01/11,06:00,1679
2022/01/11,07:00,1846
2022/01/11,08:00,2088
2022/01/11,09:00,2216
2022/01/11,10:00,2202
2022/01/11,11:00,2180
2022/01/11,12:00,2048
2022/01/11,13:00,2136
2022/01/11,14:00,2136
2022/01/11,15:00,2107
2022/01/11,16:00,2116
2022/01/11,17:00,2125
2022/01/11,18:00,2092
2022/01/11,19:00,2012
2022/01/11,20:00,1949
2022/01/11,21:00,1891
2022/01/11,22:00,1783
2022/01/11,23:00,1722
