DATE,TIME,当日実績(万kW)
2023/8/29,0:00,3092
2023/8/29,1:00,2885
2023/8/29,2:00,2776
2023/8/29,3:00,2741
2023/8/29,4:00,2751
2023/8/29,5:00,2809
2023/8/29,6:00,3071
2023/8/29,7:00,3592
2023/8/29,8:00,4299
2023/8/29,9:00,4808
2023/8/29,10:00,5061
2023/8/29,11:00,5239
2023/8/29,12:00,5227
2023/8/29,13:00,5342
2023/8/29,14:00,5329
2023/8/29,15:00,5245
2023/8/29,16:00,5159
2023/8/29,17:00,4867
2023/8/29,18:00,4664
2023/8/29,19:00,4425
2023/8/29,20:00,4158
2023/8/29,21:00,3887
2023/8/29,22:00,3655
2023/8/29,23:00,3397
