DATE,TIME,当日実績(万kW)
2023/3/26,0:00,2316
2023/3/26,1:00,2226
2023/3/26,2:00,2221
2023/3/26,3:00,2235
2023/3/26,4:00,2240
2023/3/26,5:00,2247
2023/3/26,6:00,2279
2023/3/26,7:00,2424
2023/3/26,8:00,2648
2023/3/26,9:00,2827
2023/3/26,10:00,2867
2023/3/26,11:00,2885
2023/3/26,12:00,2878
2023/3/26,13:00,2870
2023/3/26,14:00,2857
2023/3/26,15:00,2846
2023/3/26,16:00,2894
2023/3/26,17:00,3003
2023/3/26,18:00,3082
2023/3/26,19:00,3040
2023/3/26,20:00,2923
2023/3/26,21:00,2773
2023/3/26,22:00,2595
2023/3/26,23:00,2447
