DATE,TIME,当日実績(万kW)
2022/03/29,00:00,1338
2022/03/29,01:00,1301
2022/03/29,02:00,1324
2022/03/29,03:00,1338
2022/03/29,04:00,1333
2022/03/29,05:00,1367
2022/03/29,06:00,1426
2022/03/29,07:00,1533
2022/03/29,08:00,1725
2022/03/29,09:00,1815
2022/03/29,10:00,1794
2022/03/29,11:00,1762
2022/03/29,12:00,1636
2022/03/29,13:00,1706
2022/03/29,14:00,1691
2022/03/29,15:00,1668
2022/03/29,16:00,1677
2022/03/29,17:00,1659
2022/03/29,18:00,1663
2022/03/29,19:00,1616
2022/03/29,20:00,1560
2022/03/29,21:00,1523
2022/03/29,22:00,1440
2022/03/29,23:00,1398
