DATE,TIME,当日実績(万kW)
2022/06/01,00:00,1213
2022/06/01,01:00,1157
2022/06/01,02:00,1173
2022/06/01,03:00,1212
2022/06/01,04:00,1218
2022/06/01,05:00,1190
2022/06/01,06:00,1246
2022/06/01,07:00,1342
2022/06/01,08:00,1558
2022/06/01,09:00,1706
2022/06/01,10:00,1731
2022/06/01,11:00,1732
2022/06/01,12:00,1625
2022/06/01,13:00,1715
2022/06/01,14:00,1725
2022/06/01,15:00,1692
2022/06/01,16:00,1669
2022/06/01,17:00,1584
2022/06/01,18:00,1565
2022/06/01,19:00,1538
2022/06/01,20:00,1484
2022/06/01,21:00,1433
2022/06/01,22:00,1374
2022/06/01,23:00,1330
DATE,TIME,当日実績(万kW)
2022/06/02,00:00,1240
2022/06/02,01:00,1181
2022/06/02,02:00,1187
2022/06/02,03:00,1227
2022/06/02,04:00,1239
2022/06/02,05:00,1222
2022/06/02,06:00,1251
2022/06/02,07:00,1365
2022/06/02,08:00,1594
2022/06/02,09:00,1759
2022/06/02,10:00,1804
2022/06/02,11:00,1816
2022/06/02,12:00,1721
2022/06/02,13:00,1831
2022/06/02,14:00,1838
2022/06/02,15:00,1791
2022/06/02,16:00,1775
2022/06/02,17:00,1667
2022/06/02,18:00,1608
2022/06/02,19:00,1565
2022/06/02,20:00,1503
2022/06/02,21:00,1441
2022/06/02,22:00,1395
2022/06/02,23:00,1346
DATE,TIME,当日実績(万kW)
2022/06/03,00:00,1248
2022/06/03,01:00,1192
2022/06/03,02:00,1192
2022/06/03,03:00,1221
2022/06/03,04:00,1228
2022/06/03,05:00,1214
2022/06/03,06:00,1260
2022/06/03,07:00,1369
2022/06/03,08:00,1596
2022/06/03,09:00,1759
2022/06/03,10:00,1808
2022/06/03,11:00,1811
2022/06/03,12:00,1731
2022/06/03,13:00,1823
2022/06/03,14:00,1839
2022/06/03,15:00,1790
2022/06/03,16:00,1744
2022/06/03,17:00,1620
2022/06/03,18:00,1551
2022/06/03,19:00,1514
2022/06/03,20:00,1454
2022/06/03,21:00,1389
2022/06/03,22:00,1346
2022/06/03,23:00,1299
DATE,TIME,当日実績(万kW)
2022/06/04,00:00,1208
2022/06/04,01:00,1137
2022/06/04,02:00,1133
2022/06/04,03:00,1158
2022/06/04,04:00,1154
2022/06/04,05:00,1103
2022/06/04,06:00,1076
2022/06/04,07:00,1105
2022/06/04,08:00,1211
2022/06/04,09:00,1283
2022/06/04,10:00,1319
2022/06/04,11:00,1341
2022/06/04,12:00,1317
2022/06/04,13:00,1320
2022/06/04,14:00,1311
2022/06/04,15:00,1278
2022/06/04,16:00,1268
2022/06/04,17:00,1257
2022/06/04,18:00,1262
2022/06/04,19:00,1270
2022/06/04,20:00,1232
2022/06/04,21:00,1177
2022/06/04,22:00,1119
2022/06/04,23:00,1086
DATE,TIME,当日実績(万kW)
2022/06/05,00:00,1019
2022/06/05,01:00,984
2022/06/05,02:00,995
2022/06/05,03:00,1024
2022/06/05,04:00,1035
2022/06/05,05:00,1005
2022/06/05,06:00,986
2022/06/05,07:00,1023
2022/06/05,08:00,1102
2022/06/05,09:00,1148
2022/06/05,10:00,1172
2022/06/05,11:00,1207
2022/06/05,12:00,1201
2022/06/05,13:00,1193
2022/06/05,14:00,1174
2022/06/05,15:00,1163
2022/06/05,16:00,1178
2022/06/05,17:00,1207
2022/06/05,18:00,1244
2022/06/05,19:00,1252
2022/06/05,20:00,1213
2022/06/05,21:00,1170
2022/06/05,22:00,1113
2022/06/05,23:00,1089
DATE,TIME,当日実績(万kW)
2022/06/06,00:00,1027
2022/06/06,01:00,981
2022/06/06,02:00,1015
2022/06/06,03:00,1052
2022/06/06,04:00,1080
2022/06/06,05:00,1113
2022/06/06,06:00,1166
2022/06/06,07:00,1297
2022/06/06,08:00,1505
2022/06/06,09:00,1637
2022/06/06,10:00,1657
2022/06/06,11:00,1653
2022/06/06,12:00,1550
2022/06/06,13:00,1642
2022/06/06,14:00,1660
2022/06/06,15:00,1631
2022/06/06,16:00,1616
2022/06/06,17:00,1555
2022/06/06,18:00,1534
2022/06/06,19:00,1487
2022/06/06,20:00,1430
2022/06/06,21:00,1389
2022/06/06,22:00,1346
2022/06/06,23:00,1310
DATE,TIME,当日実績(万kW)
2022/06/07,00:00,1235
2022/06/07,01:00,1187
2022/06/07,02:00,1192
2022/06/07,03:00,1224
2022/06/07,04:00,1223
2022/06/07,05:00,1211
2022/06/07,06:00,1267
2022/06/07,07:00,1363
2022/06/07,08:00,1575
2022/06/07,09:00,1726
2022/06/07,10:00,1749
2022/06/07,11:00,1737
2022/06/07,12:00,1613
2022/06/07,13:00,1715
2022/06/07,14:00,1715
2022/06/07,15:00,1686
2022/06/07,16:00,1653
2022/06/07,17:00,1581
2022/06/07,18:00,1533
2022/06/07,19:00,1499
2022/06/07,20:00,1446
2022/06/07,21:00,1391
2022/06/07,22:00,1344
2022/06/07,23:00,1300
DATE,TIME,当日実績(万kW)
2022/06/08,00:00,1220
2022/06/08,01:00,1176
2022/06/08,02:00,1177
2022/06/08,03:00,1214
2022/06/08,04:00,1230
2022/06/08,05:00,1223
2022/06/08,06:00,1257
2022/06/08,07:00,1348
2022/06/08,08:00,1553
2022/06/08,09:00,1689
2022/06/08,10:00,1727
2022/06/08,11:00,1736
2022/06/08,12:00,1631
2022/06/08,13:00,1724
2022/06/08,14:00,1720
2022/06/08,15:00,1691
2022/06/08,16:00,1661
2022/06/08,17:00,1584
2022/06/08,18:00,1537
2022/06/08,19:00,1506
2022/06/08,20:00,1444
2022/06/08,21:00,1392
2022/06/08,22:00,1331
2022/06/08,23:00,1291
DATE,TIME,当日実績(万kW)
2022/06/09,00:00,1200
2022/06/09,01:00,1152
2022/06/09,02:00,1159
2022/06/09,03:00,1192
2022/06/09,04:00,1205
2022/06/09,05:00,1191
2022/06/09,06:00,1234
2022/06/09,07:00,1347
2022/06/09,08:00,1561
2022/06/09,09:00,1717
2022/06/09,10:00,1771
2022/06/09,11:00,1778
2022/06/09,12:00,1671
2022/06/09,13:00,1776
2022/06/09,14:00,1775
2022/06/09,15:00,1733
2022/06/09,16:00,1706
2022/06/09,17:00,1596
2022/06/09,18:00,1546
2022/06/09,19:00,1512
2022/06/09,20:00,1457
2022/06/09,21:00,1402
2022/06/09,22:00,1357
2022/06/09,23:00,1309
DATE,TIME,当日実績(万kW)
2022/06/10,00:00,1219
2022/06/10,01:00,1167
2022/06/10,02:00,1171
2022/06/10,03:00,1209
2022/06/10,04:00,1220
2022/06/10,05:00,1203
2022/06/10,06:00,1234
2022/06/10,07:00,1329
2022/06/10,08:00,1546
2022/06/10,09:00,1698
2022/06/10,10:00,1748
2022/06/10,11:00,1778
2022/06/10,12:00,1679
2022/06/10,13:00,1772
2022/06/10,14:00,1771
2022/06/10,15:00,1729
2022/06/10,16:00,1686
2022/06/10,17:00,1572
2022/06/10,18:00,1527
2022/06/10,19:00,1506
2022/06/10,20:00,1442
2022/06/10,21:00,1387
2022/06/10,22:00,1339
2022/06/10,23:00,1296
DATE,TIME,当日実績(万kW)
2022/06/11,00:00,1213
2022/06/11,01:00,1150
2022/06/11,02:00,1147
2022/06/11,03:00,1170
2022/06/11,04:00,1164
2022/06/11,05:00,1118
2022/06/11,06:00,1082
