DATE,TIME,当日実績(万kW)
2020/7/26,0:00,1261
2020/7/26,1:00,1186
2020/7/26,2:00,1191
2020/7/26,3:00,1229
2020/7/26,4:00,1233
2020/7/26,5:00,1199
2020/7/26,6:00,1179
2020/7/26,7:00,1250
2020/7/26,8:00,1353
2020/7/26,9:00,1478
2020/7/26,10:00,1557
2020/7/26,11:00,1612
2020/7/26,12:00,1596
2020/7/26,13:00,1583
2020/7/26,14:00,1578
2020/7/26,15:00,1576
2020/7/26,16:00,1584
2020/7/26,17:00,1594
2020/7/26,18:00,1597
2020/7/26,19:00,1603
2020/7/26,20:00,1537
2020/7/26,21:00,1460
2020/7/26,22:00,1395
2020/7/26,23:00,1326
