DATE,TIME,当日実績(万kW)
2020/10/23,0:00,1225
2020/10/23,1:00,1184
2020/10/23,2:00,1233
2020/10/23,3:00,1297
2020/10/23,4:00,1312
2020/10/23,5:00,1285
2020/10/23,6:00,1314
2020/10/23,7:00,1458
2020/10/23,8:00,1616
2020/10/23,9:00,1719
2020/10/23,10:00,1734
2020/10/23,11:00,1710
2020/10/23,12:00,1608
2020/10/23,13:00,1672
2020/10/23,14:00,1660
2020/10/23,15:00,1646
2020/10/23,16:00,1643
2020/10/23,17:00,1622
2020/10/23,18:00,1591
2020/10/23,19:00,1522
2020/10/23,20:00,1459
2020/10/23,21:00,1394
2020/10/23,22:00,1370
2020/10/23,23:00,1313
