DATE,TIME,当日実績(万kW)
2019/6/10,0:00,1162
2019/6/10,1:00,1104
2019/6/10,2:00,1133
2019/6/10,3:00,1199
2019/6/10,4:00,1224
2019/6/10,5:00,1232
2019/6/10,6:00,1271
2019/6/10,7:00,1422
2019/6/10,8:00,1609
2019/6/10,9:00,1766
2019/6/10,10:00,1807
2019/6/10,11:00,1825
2019/6/10,12:00,1736
2019/6/10,13:00,1838
2019/6/10,14:00,1874
2019/6/10,15:00,1873
2019/6/10,16:00,1843
2019/6/10,17:00,1765
2019/6/10,18:00,1713
2019/6/10,19:00,1672
2019/6/10,20:00,1593
2019/6/10,21:00,1528
2019/6/10,22:00,1458
2019/6/10,23:00,1378
