DATE,TIME,当日実績(万kW)
2022/1/18,0:00,1711
2022/1/18,1:00,1658
2022/1/18,2:00,1671
2022/1/18,3:00,1671
2022/1/18,4:00,1649
2022/1/18,5:00,1682
2022/1/18,6:00,1874
2022/1/18,7:00,2105
2022/1/18,8:00,2338
2022/1/18,9:00,2420
2022/1/18,10:00,2384
2022/1/18,11:00,2361
2022/1/18,12:00,2258
2022/1/18,13:00,2318
2022/1/18,14:00,2308
2022/1/18,15:00,2312
2022/1/18,16:00,2356
2022/1/18,17:00,2409
2022/1/18,18:00,2410
2022/1/18,19:00,2341
2022/1/18,20:00,2259
2022/1/18,21:00,2156
2022/1/18,22:00,2017
2022/1/18,23:00,1909
