DATE,TIME,当日実績(万kW)
2023/1/27,0:00,1754
2023/1/27,1:00,1691
2023/1/27,2:00,1676
2023/1/27,3:00,1666
2023/1/27,4:00,1646
2023/1/27,5:00,1680
2023/1/27,6:00,1860
2023/1/27,7:00,2068
2023/1/27,8:00,2346
2023/1/27,9:00,2530
2023/1/27,10:00,2557
2023/1/27,11:00,2561
2023/1/27,12:00,2462
2023/1/27,13:00,2493
2023/1/27,14:00,2415
2023/1/27,15:00,2337
2023/1/27,16:00,2330
2023/1/27,17:00,2327
2023/1/27,18:00,2311
2023/1/27,19:00,2245
2023/1/27,20:00,2177
2023/1/27,21:00,2098
2023/1/27,22:00,1983
2023/1/27,23:00,1891
