DATE,TIME,当日実績(万kW)
2022/7/29,0:00,1583
2022/7/29,1:00,1474
2022/7/29,2:00,1454
2022/7/29,3:00,1459
2022/7/29,4:00,1449
2022/7/29,5:00,1477
2022/7/29,6:00,1586
2022/7/29,7:00,1802
2022/7/29,8:00,2151
2022/7/29,9:00,2416
2022/7/29,10:00,2506
2022/7/29,11:00,2554
2022/7/29,12:00,2508
2022/7/29,13:00,2610
2022/7/29,14:00,2633
2022/7/29,15:00,2625
2022/7/29,16:00,2617
2022/7/29,17:00,2492
2022/7/29,18:00,2323
2022/7/29,19:00,2218
2022/7/29,20:00,2092
2022/7/29,21:00,1984
2022/7/29,22:00,1862
2022/7/29,23:00,1742
