DATE,TIME,当日実績(万kW)
2021/2/22,0:00,1257
2021/2/22,1:00,1249
2021/2/22,2:00,1304
2021/2/22,3:00,1331
2021/2/22,4:00,1337
2021/2/22,5:00,1349
2021/2/22,6:00,1463
2021/2/22,7:00,1618
2021/2/22,8:00,1769
2021/2/22,9:00,1803
2021/2/22,10:00,1770
2021/2/22,11:00,1742
2021/2/22,12:00,1644
2021/2/22,13:00,1696
2021/2/22,14:00,1678
2021/2/22,15:00,1653
2021/2/22,16:00,1668
2021/2/22,17:00,1659
2021/2/22,18:00,1688
2021/2/22,19:00,1635
2021/2/22,20:00,1568
2021/2/22,21:00,1513
2021/2/22,22:00,1454
2021/2/22,23:00,1391
