DATE,TIME,当日実績(万kW)
2020/12/30,0:00,1264
2020/12/30,1:00,1220
2020/12/30,2:00,1246
2020/12/30,3:00,1259
2020/12/30,4:00,1239
2020/12/30,5:00,1196
2020/12/30,6:00,1207
2020/12/30,7:00,1308
2020/12/30,8:00,1463
2020/12/30,9:00,1519
2020/12/30,10:00,1491
2020/12/30,11:00,1454
2020/12/30,12:00,1437
2020/12/30,13:00,1429
2020/12/30,14:00,1424
2020/12/30,15:00,1455
2020/12/30,16:00,1550
2020/12/30,17:00,1730
2020/12/30,18:00,1795
2020/12/30,19:00,1798
2020/12/30,20:00,1766
2020/12/30,21:00,1700
2020/12/30,22:00,1599
2020/12/30,23:00,1538
