DATE,TIME,当日実績(万kW)
2022/1/25,0:00,1714
2022/1/25,1:00,1667
2022/1/25,2:00,1671
2022/1/25,3:00,1669
2022/1/25,4:00,1655
2022/1/25,5:00,1694
2022/1/25,6:00,1889
2022/1/25,7:00,2105
2022/1/25,8:00,2325
2022/1/25,9:00,2396
2022/1/25,10:00,2342
2022/1/25,11:00,2298
2022/1/25,12:00,2187
2022/1/25,13:00,2252
2022/1/25,14:00,2239
2022/1/25,15:00,2229
2022/1/25,16:00,2264
2022/1/25,17:00,2271
2022/1/25,18:00,2259
2022/1/25,19:00,2190
2022/1/25,20:00,2119
2022/1/25,21:00,2032
2022/1/25,22:00,1924
2022/1/25,23:00,1830
