DATE,TIME,当日実績(万kW)
2020/10/26,00:00,1000
2020/10/26,01:00,984
2020/10/26,02:00,1027
2020/10/26,03:00,1068
2020/10/26,04:00,1099
2020/10/26,05:00,1145
2020/10/26,06:00,1231
2020/10/26,07:00,1350
2020/10/26,08:00,1538
2020/10/26,09:00,1638
2020/10/26,10:00,1643
2020/10/26,11:00,1631
2020/10/26,12:00,1526
2020/10/26,13:00,1616
2020/10/26,14:00,1620
2020/10/26,15:00,1609
2020/10/26,16:00,1617
2020/10/26,17:00,1622
2020/10/26,18:00,1593
2020/10/26,19:00,1510
2020/10/26,20:00,1453
2020/10/26,21:00,1408
2020/10/26,22:00,1356
2020/10/26,23:00,1315
