DATE,TIME,当日実績(万kW)
2022/08/09,00:00,1495
2022/08/09,01:00,1405
2022/08/09,02:00,1370
2022/08/09,03:00,1369
2022/08/09,04:00,1371
2022/08/09,05:00,1372
2022/08/09,06:00,1454
2022/08/09,07:00,1676
2022/08/09,08:00,2033
2022/08/09,09:00,2278
2022/08/09,10:00,2352
2022/08/09,11:00,2394
2022/08/09,12:00,2321
2022/08/09,13:00,2400
2022/08/09,14:00,2411
2022/08/09,15:00,2369
2022/08/09,16:00,2314
2022/08/09,17:00,2174
2022/08/09,18:00,2097
2022/08/09,19:00,1996
2022/08/09,20:00,1905
2022/08/09,21:00,1815
2022/08/09,22:00,1728
2022/08/09,23:00,1648
