DATE,TIME,当日実績(万kW)
2020/04/04,00:00,1293
2020/04/04,01:00,1272
2020/04/04,02:00,1284
2020/04/04,03:00,1294
2020/04/04,04:00,1275
2020/04/04,05:00,1238
2020/04/04,06:00,1206
2020/04/04,07:00,1214
2020/04/04,08:00,1267
2020/04/04,09:00,1283
2020/04/04,10:00,1283
2020/04/04,11:00,1278
2020/04/04,12:00,1234
2020/04/04,13:00,1217
2020/04/04,14:00,1191
2020/04/04,15:00,1165
2020/04/04,16:00,1181
2020/04/04,17:00,1204
2020/04/04,18:00,1293
2020/04/04,19:00,1286
2020/04/04,20:00,1257
2020/04/04,21:00,1209
2020/04/04,22:00,1145
2020/04/04,23:00,1127
