DATE,TIME,当日実績(万kW),
2019/4/11,0:00,320,
2019/4/11,1:00,334,
2019/4/11,2:00,343,
2019/4/11,3:00,350,
2019/4/11,4:00,356,
2019/4/11,5:00,353,
2019/4/11,6:00,345,
2019/4/11,7:00,322,
2019/4/11,8:00,329,
2019/4/11,9:00,341,
2019/4/11,10:00,345,
2019/4/11,11:00,349,
2019/4/11,12:00,334,
2019/4/11,13:00,353,
2019/4/11,14:00,342,
2019/4/11,15:00,347,
2019/4/11,16:00,355,
2019/4/11,17:00,359,
2019/4/11,18:00,380,
2019/4/11,19:00,378,
2019/4/11,20:00,361,
2019/4/11,21:00,341,
2019/4/11,22:00,332,
2019/4/11,23:00,340,
