DATE,TIME,当日実績(万kW),
2019/8/28,0:00,260,
2019/8/28,1:00,256,
2019/8/28,2:00,266,
2019/8/28,3:00,284,
2019/8/28,4:00,289,
2019/8/28,5:00,279,
2019/8/28,6:00,280,
2019/8/28,7:00,296,
2019/8/28,8:00,333,
2019/8/28,9:00,363,
2019/8/28,10:00,368,
2019/8/28,11:00,370,
2019/8/28,12:00,348,
2019/8/28,13:00,369,
2019/8/28,14:00,370,
2019/8/28,15:00,367,
2019/8/28,16:00,370,
2019/8/28,17:00,365,
2019/8/28,18:00,366,
2019/8/28,19:00,354,
2019/8/28,20:00,332,
2019/8/28,21:00,311,
2019/8/28,22:00,298,
2019/8/28,23:00,283,
