DATE,TIME,当日実績(万kW),
2019/8/13,0:00,256,
2019/8/13,1:00,254,
2019/8/13,2:00,263,
2019/8/13,3:00,279,
2019/8/13,4:00,281,
2019/8/13,5:00,271,
2019/8/13,6:00,270,
2019/8/13,7:00,275,
2019/8/13,8:00,297,
2019/8/13,9:00,311,
2019/8/13,10:00,310,
2019/8/13,11:00,316,
2019/8/13,12:00,308,
2019/8/13,13:00,317,
2019/8/13,14:00,311,
2019/8/13,15:00,310,
2019/8/13,16:00,321,
2019/8/13,17:00,322,
2019/8/13,18:00,323,
2019/8/13,19:00,331,
2019/8/13,20:00,311,
2019/8/13,21:00,291,
2019/8/13,22:00,277,
2019/8/13,23:00,270,
