DATE,TIME,当日実績(万kW),
2019/4/27,0:00,317,
2019/4/27,1:00,323,
2019/4/27,2:00,334,
2019/4/27,3:00,341,
2019/4/27,4:00,342,
2019/4/27,5:00,332,
2019/4/27,6:00,325,
2019/4/27,7:00,313,
2019/4/27,8:00,326,
2019/4/27,9:00,338,
2019/4/27,10:00,344,
2019/4/27,11:00,349,
2019/4/27,12:00,326,
2019/4/27,13:00,326,
2019/4/27,14:00,330,
2019/4/27,15:00,323,
2019/4/27,16:00,325,
2019/4/27,17:00,333,
2019/4/27,18:00,345,
2019/4/27,19:00,347,
2019/4/27,20:00,333,
2019/4/27,21:00,318,
2019/4/27,22:00,302,
2019/4/27,23:00,304,
