DATE,TIME,当日実績(万kW),
2019/7/10,0:00,260,
2019/7/10,1:00,260,
2019/7/10,2:00,270,
2019/7/10,3:00,283,
2019/7/10,4:00,276,
2019/7/10,5:00,269,
2019/7/10,6:00,275,
2019/7/10,7:00,282,
2019/7/10,8:00,308,
2019/7/10,9:00,334,
2019/7/10,10:00,336,
2019/7/10,11:00,343,
2019/7/10,12:00,315,
2019/7/10,13:00,337,
2019/7/10,14:00,340,
2019/7/10,15:00,338,
2019/7/10,16:00,350,
2019/7/10,17:00,342,
2019/7/10,18:00,332,
2019/7/10,19:00,337,
2019/7/10,20:00,323,
2019/7/10,21:00,304,
2019/7/10,22:00,288,
2019/7/10,23:00,277,
