DATE,TIME,当日実績(万kW)
2019/12/17,0:00,369
2019/12/17,1:00,385
2019/12/17,2:00,399
2019/12/17,3:00,406
2019/12/17,4:00,412
2019/12/17,5:00,410
2019/12/17,6:00,415
2019/12/17,7:00,406
2019/12/17,8:00,422
2019/12/17,9:00,430
2019/12/17,10:00,418
2019/12/17,11:00,416
2019/12/17,12:00,402
2019/12/17,13:00,421
2019/12/17,14:00,420
2019/12/17,15:00,423
2019/12/17,16:00,437
2019/12/17,17:00,432
2019/12/17,18:00,419
2019/12/17,19:00,409
2019/12/17,20:00,395
2019/12/17,21:00,375
2019/12/17,22:00,357
2019/12/17,23:00,359
