DATE,TIME,当日実績(万kW),
2019/4/15,0:00,286,
2019/4/15,1:00,296,
2019/4/15,2:00,305,
2019/4/15,3:00,313,
2019/4/15,4:00,316,
2019/4/15,5:00,315,
2019/4/15,6:00,328,
2019/4/15,7:00,334,
2019/4/15,8:00,361,
2019/4/15,9:00,374,
2019/4/15,10:00,370,
2019/4/15,11:00,368,
2019/4/15,12:00,333,
2019/4/15,13:00,349,
2019/4/15,14:00,356,
2019/4/15,15:00,355,
2019/4/15,16:00,362,
2019/4/15,17:00,362,
2019/4/15,18:00,372,
2019/4/15,19:00,366,
2019/4/15,20:00,349,
2019/4/15,21:00,334,
2019/4/15,22:00,306,
2019/4/15,23:00,306,
