DATE,TIME,当日実績(万kW),
2019/6/18,0:00,253,
2019/6/18,1:00,254,
2019/6/18,2:00,268,
2019/6/18,3:00,280,
2019/6/18,4:00,274,
2019/6/18,5:00,265,
2019/6/18,6:00,261,
2019/6/18,7:00,264,
2019/6/18,8:00,292,
2019/6/18,9:00,308,
2019/6/18,10:00,306,
2019/6/18,11:00,311,
2019/6/18,12:00,294,
2019/6/18,13:00,318,
2019/6/18,14:00,325,
2019/6/18,15:00,328,
2019/6/18,16:00,336,
2019/6/18,17:00,328,
2019/6/18,18:00,324,
2019/6/18,19:00,330,
2019/6/18,20:00,316,
2019/6/18,21:00,295,
2019/6/18,22:00,274,
2019/6/18,23:00,265,
