DATE,TIME,当日実績(万kW),
2019/8/30,0:00,264,
2019/8/30,1:00,265,
2019/8/30,2:00,272,
2019/8/30,3:00,287,
2019/8/30,4:00,291,
2019/8/30,5:00,281,
2019/8/30,6:00,285,
2019/8/30,7:00,301,
2019/8/30,8:00,326,
2019/8/30,9:00,344,
2019/8/30,10:00,356,
2019/8/30,11:00,367,
2019/8/30,12:00,345,
2019/8/30,13:00,367,
2019/8/30,14:00,362,
2019/8/30,15:00,361,
2019/8/30,16:00,365,
2019/8/30,17:00,359,
2019/8/30,18:00,366,
2019/8/30,19:00,357,
2019/8/30,20:00,331,
2019/8/30,21:00,314,
2019/8/30,22:00,299,
2019/8/30,23:00,284,
