DATE,TIME,当日実績(万kW),
2019/7/15,0:00,250,
2019/7/15,1:00,249,
2019/7/15,2:00,259,
2019/7/15,3:00,276,
2019/7/15,4:00,271,
2019/7/15,5:00,259,
2019/7/15,6:00,260,
2019/7/15,7:00,265,
2019/7/15,8:00,287,
2019/7/15,9:00,302,
2019/7/15,10:00,303,
2019/7/15,11:00,304,
2019/7/15,12:00,297,
2019/7/15,13:00,301,
2019/7/15,14:00,300,
2019/7/15,15:00,295,
2019/7/15,16:00,306,
2019/7/15,17:00,310,
2019/7/15,18:00,312,
2019/7/15,19:00,320,
2019/7/15,20:00,308,
2019/7/15,21:00,291,
2019/7/15,22:00,272,
2019/7/15,23:00,262,
