DATE,TIME,当日実績(万kW),
2019/4/21,0:00,304,
2019/4/21,1:00,311,
2019/4/21,2:00,320,
2019/4/21,3:00,328,
2019/4/21,4:00,324,
2019/4/21,5:00,309,
2019/4/21,6:00,291,
2019/4/21,7:00,268,
2019/4/21,8:00,261,
2019/4/21,9:00,271,
2019/4/21,10:00,269,
2019/4/21,11:00,272,
2019/4/21,12:00,264,
2019/4/21,13:00,257,
2019/4/21,14:00,253,
2019/4/21,15:00,260,
2019/4/21,16:00,281,
2019/4/21,17:00,297,
2019/4/21,18:00,321,
2019/4/21,19:00,326,
2019/4/21,20:00,315,
2019/4/21,21:00,297,
2019/4/21,22:00,286,
2019/4/21,23:00,287,
