DATE,TIME,当日実績(万kW),
2019/5/16,0:00,269,
2019/5/16,1:00,280,
2019/5/16,2:00,292,
2019/5/16,3:00,300,
2019/5/16,4:00,296,
2019/5/16,5:00,288,
2019/5/16,6:00,289,
2019/5/16,7:00,286,
2019/5/16,8:00,295,
2019/5/16,9:00,304,
2019/5/16,10:00,306,
2019/5/16,11:00,316,
2019/5/16,12:00,299,
2019/5/16,13:00,316,
2019/5/16,14:00,316,
2019/5/16,15:00,321,
2019/5/16,16:00,335,
2019/5/16,17:00,332,
2019/5/16,18:00,331,
2019/5/16,19:00,342,
2019/5/16,20:00,321,
2019/5/16,21:00,309,
2019/5/16,22:00,290,
2019/5/16,23:00,283,
