DATE,TIME,当日実績(万kW),
2019/8/19,0:00,259,
2019/8/19,1:00,255,
2019/8/19,2:00,262,
2019/8/19,3:00,278,
2019/8/19,4:00,287,
2019/8/19,5:00,277,
2019/8/19,6:00,282,
2019/8/19,7:00,294,
2019/8/19,8:00,336,
2019/8/19,9:00,366,
2019/8/19,10:00,368,
2019/8/19,11:00,370,
2019/8/19,12:00,348,
2019/8/19,13:00,368,
2019/8/19,14:00,369,
2019/8/19,15:00,375,
2019/8/19,16:00,380,
2019/8/19,17:00,367,
2019/8/19,18:00,366,
2019/8/19,19:00,364,
2019/8/19,20:00,339,
2019/8/19,21:00,315,
2019/8/19,22:00,295,
2019/8/19,23:00,284,
