DATE,TIME,当日実績(万kW)
2022/10/21,00:00,1207
2022/10/21,01:00,1171
2022/10/21,02:00,1180
2022/10/21,03:00,1228
2022/10/21,04:00,1244
2022/10/21,05:00,1265
2022/10/21,06:00,1312
2022/10/21,07:00,1387
2022/10/21,08:00,1531
2022/10/21,09:00,1624
2022/10/21,10:00,1625
2022/10/21,11:00,1632
2022/10/21,12:00,1526
2022/10/21,13:00,1588
2022/10/21,14:00,1605
2022/10/21,15:00,1585
2022/10/21,16:00,1569
2022/10/21,17:00,1549
2022/10/21,18:00,1509
2022/10/21,19:00,1434
2022/10/21,20:00,1383
2022/10/21,21:00,1342
2022/10/21,22:00,1297
2022/10/21,23:00,1260
